title,shopLink,createdTime,reviewsLink,reviewsQuantity,priceFormatted,hasVariants,mods,id,currency,creditMonthlyPrice,brand,stock,loanAvailable,discount,unitSalePrice,rating,adjustedRating,categoryId,price,color,full_name
DELL Vostro 5625 210-BDFL-2 серый,https://kaspi.kz/shop/p/dell-vostro-5625-210-bdfl-2-seryi-108372496/?c=750000000,2023-01-09T09:03:47.589Z,https://kaspi.kz/shop/p/dell-vostro-5625-210-bdfl-2-seryi-108372496/?c=750000000&tab=reviews,,494 930 ₸,False,,108372496,KZT,31313.0,DELL,1,True,0,494930.0,0.0,0,00588,494930.0,серый,DELL Vostro 5625 210-BDFL-2
ASUS B1500CEAE-BQ3962 90NX0441-M02TZ0 синий,https://kaspi.kz/shop/p/asus-b1500ceae-bq3962-90nx0441-m02tz0-sinii-106888194/?c=750000000,2022-10-18T07:54:10.427Z,https://kaspi.kz/shop/p/asus-b1500ceae-bq3962-90nx0441-m02tz0-sinii-106888194/?c=750000000&tab=reviews,0.0,346 963 ₸,False,,106888194,KZT,21952.0,ASUS,1,True,0,346963.0,0.0,0,00588,346963.0,синий,ASUS B1500CEAE-BQ3962 90NX0441-M02TZ0
MSI Pulse GL66 11UCK-423XRU 9S7-158224-423 серый,https://kaspi.kz/shop/p/msi-pulse-gl66-11uck-423xru-9s7-158224-423-seryi-102481149/?c=750000000,2021-10-04T15:28:31.388Z,https://kaspi.kz/shop/p/msi-pulse-gl66-11uck-423xru-9s7-158224-423-seryi-102481149/?c=750000000&tab=reviews,0.0,924 000 ₸,False,,102481149,KZT,58459.0,MSI,1,True,0,924000.0,0.0,0,00588,924000.0,серый,MSI Pulse GL66 11UCK-423XRU 9S7-158224-423
Apple MacBook Pro 14 Z15G0016D серый,https://kaspi.kz/shop/p/apple-macbook-pro-14-z15g0016d-seryi-106195829/?c=750000000,2022-08-24T05:25:19.509Z,https://kaspi.kz/shop/p/apple-macbook-pro-14-z15g0016d-seryi-106195829/?c=750000000&tab=reviews,0.0,1 369 990 ₸,False,,106195829,KZT,86675.0,Apple,1,True,0,1369990.0,0.0,0,00588,1369990.0,серый,Apple MacBook Pro 14 Z15G0016D
ASUS Vivobook X OLED X1503ZA-L1232 90NB0WY1-M00NL0 синий,https://kaspi.kz/shop/p/asus-vivobook-x-oled-x1503za-l1232-90nb0wy1-m00nl0-sinii-108333545/?c=750000000,2023-01-04T14:10:04.663Z,https://kaspi.kz/shop/p/asus-vivobook-x-oled-x1503za-l1232-90nb0wy1-m00nl0-sinii-108333545/?c=750000000&tab=reviews,,464 910 ₸,False,,108333545,KZT,29414.0,ASUS,1,True,0,464910.0,0.0,0,00588,464910.0,синий,ASUS Vivobook X OLED X1503ZA-L1232 90NB0WY1-M00NL0
ASUS ROG Zephyrus G14 GA401QE-HZ101T 90NR05R5-M04260 серый,https://kaspi.kz/shop/p/asus-rog-zephyrus-g14-ga401qe-hz101t-90nr05r5-m04260-seryi-102301256/?c=750000000,2021-09-16T06:39:29.636Z,https://kaspi.kz/shop/p/asus-rog-zephyrus-g14-ga401qe-hz101t-90nr05r5-m04260-seryi-102301256/?c=750000000&tab=reviews,3.0,1 099 993 ₸,False,,102301256,KZT,69593.0,ASUS,1,True,0,1099993.0,5.0,9,00588,1099993.0,серый,ASUS ROG Zephyrus G14 GA401QE-HZ101T 90NR05R5-M04260
HP 255 G8 5N322ES черный,https://kaspi.kz/shop/p/hp-255-g8-5n322es-chernyi-107203413/?c=750000000,2022-11-01T12:53:18.315Z,https://kaspi.kz/shop/p/hp-255-g8-5n322es-chernyi-107203413/?c=750000000&tab=reviews,0.0,289 759 ₸,False,,107203413,KZT,18333.0,HP,1,True,0,289759.0,0.0,0,00588,289759.0,черный,HP 255 G8 5N322ES
DELL Vostro 15 3510 210-AZZU-B10 черный,https://kaspi.kz/shop/p/dell-vostro-15-3510-210-azzu-b10-chernyi-108238532/?c=750000000,2022-12-26T06:53:33.376Z,https://kaspi.kz/shop/p/dell-vostro-15-3510-210-azzu-b10-chernyi-108238532/?c=750000000&tab=reviews,,442 040 ₸,False,,108238532,KZT,27967.0,DELL,1,True,0,442040.0,0.0,0,00588,442040.0,черный,DELL Vostro 15 3510 210-AZZU-B10
DELL Vostro 5620 210-BDBL-8 серый,https://kaspi.kz/shop/p/dell-vostro-5620-210-bdbl-8-seryi-108098423/?c=750000000,2022-12-14T14:05:20.229Z,https://kaspi.kz/shop/p/dell-vostro-5620-210-bdbl-8-seryi-108098423/?c=750000000&tab=reviews,,707 620 ₸,False,,108098423,KZT,44769.0,DELL,1,True,0,707620.0,0.0,0,00588,707620.0,серый,DELL Vostro 5620 210-BDBL-8
MSI GF63 Thin 11UC-1229XGE 9S7-16R612-1229 черный,https://kaspi.kz/shop/p/msi-gf63-thin-11uc-1229xge-9s7-16r612-1229-chernyi-108617058/?c=750000000,2023-01-26T04:58:39.960Z,https://kaspi.kz/shop/p/msi-gf63-thin-11uc-1229xge-9s7-16r612-1229-chernyi-108617058/?c=750000000&tab=reviews,,489 690 ₸,False,,108617058,KZT,30981.0,MSI,1,True,0,489690.0,0.0,0,00588,489690.0,черный,MSI GF63 Thin 11UC-1229XGE 9S7-16R612-1229
HP ZBook Fury 17 G8 524Y3EA черный,https://kaspi.kz/shop/p/hp-zbook-fury-17-g8-524y3ea-chernyi-107225506/?c=750000000,2022-11-02T10:05:22.687Z,https://kaspi.kz/shop/p/hp-zbook-fury-17-g8-524y3ea-chernyi-107225506/?c=750000000&tab=reviews,0.0,1 174 990 ₸,False,,107225506,KZT,74338.0,HP,1,True,0,1174990.0,0.0,0,00588,1174990.0,черный,HP ZBook Fury 17 G8 524Y3EA
HP 255 G8 5N323ES серый,https://kaspi.kz/shop/p/hp-255-g8-5n323es-seryi-106945108/?c=750000000,2022-10-21T14:24:35.919Z,https://kaspi.kz/shop/p/hp-255-g8-5n323es-seryi-106945108/?c=750000000&tab=reviews,0.0,327 380 ₸,False,,106945108,KZT,20713.0,HP,1,True,0,327380.0,0.0,0,00588,327380.0,серый,HP 255 G8 5N323ES
Acer Predator Helios 300 PH317-55 NH.QB6CN.003 черный,https://kaspi.kz/shop/p/acer-predator-helios-300-ph317-55-nh-qb6cn-003-chernyi-107091434/?c=750000000,2022-10-28T07:44:58.491Z,https://kaspi.kz/shop/p/acer-predator-helios-300-ph317-55-nh-qb6cn-003-chernyi-107091434/?c=750000000&tab=reviews,1.0,995 230 ₸,False,,107091434,KZT,62965.0,Acer,1,True,0,995230.0,5.0,10,00588,995230.0,черный,Acer Predator Helios 300 PH317-55 NH.QB6CN.003
Aiwa CP1562500U серебристый,https://kaspi.kz/shop/p/aiwa-cp1562500u-serebristyi-103598567/?c=750000000,2022-02-04T10:53:33.945Z,https://kaspi.kz/shop/p/aiwa-cp1562500u-serebristyi-103598567/?c=750000000&tab=reviews,4.0,295 000 ₸,False,,103598567,KZT,18664.0,AIWA,1,True,0,295000.0,5.0,9,00588,295000.0,серебристый,Aiwa CP1562500U
HP ProBook 450 G9 UMA 6F2M4EA серебристый,https://kaspi.kz/shop/p/hp-probook-450-g9-uma-6f2m4ea-serebristyi-108121793/?c=750000000,2022-12-16T12:23:21.354Z,https://kaspi.kz/shop/p/hp-probook-450-g9-uma-6f2m4ea-serebristyi-108121793/?c=750000000&tab=reviews,,573 343 ₸,False,,108121793,KZT,36274.0,HP,1,True,0,573343.0,0.0,0,00588,573343.0,серебристый,HP ProBook 450 G9 UMA 6F2M4EA
